date,state,pop,data,data_rolling_mean,total_cases,new_cases,percent_of_max
2020-02-01,Alabama,4888949,0,,,,0
2020-02-02,Alabama,4888949,0,,,0,0
2020-02-03,Alabama,4888949,0,,,0,0
2020-02-04,Alabama,4888949,0,,,0,0
2020-02-05,Alabama,4888949,0,,,0,0
2020-02-06,Alabama,4888949,0,,,0,0
2020-02-07,Alabama,4888949,0,0,,0,0
2020-02-08,Alabama,4888949,0,0,,0,0
2020-02-09,Alabama,4888949,0,0,,0,0
2020-02-10,Alabama,4888949,0,0,,0,0
2020-02-11,Alabama,4888949,0,0,,0,0
2020-02-12,Alabama,4888949,0,0,,0,0
2020-02-13,Alabama,4888949,0,0,,0,0
2020-02-14,Alabama,4888949,0,0,,0,0
2020-02-15,Alabama,4888949,0,0,,0,0
2020-02-16,Alabama,4888949,0,0,,0,0
2020-02-17,Alabama,4888949,0,0,,0,0
2020-02-18,Alabama,4888949,0,0,,0,0
2020-02-19,Alabama,4888949,0,0,,0,0
2020-02-20,Alabama,4888949,0,0,,0,0
2020-02-21,Alabama,4888949,0,0,,0,0
2020-02-22,Alabama,4888949,0,0,,0,0
2020-02-23,Alabama,4888949,0,0,,0,0
2020-02-24,Alabama,4888949,0,0,,0,0
2020-02-25,Alabama,4888949,0,0,,0,0
2020-02-26,Alabama,4888949,0,0,,0,0
2020-02-27,Alabama,4888949,0,0,,0,0
2020-02-28,Alabama,4888949,0,0,,0,0
2020-02-29,Alabama,4888949,0,0,,0,0
2020-03-01,Alabama,4888949,0,0,,0,0
2020-03-02,Alabama,4888949,0,0,,0,0
2020-03-03,Alabama,4888949,0,0,,0,0
2020-03-04,Alabama,4888949,0,0,,0,0
2020-03-05,Alabama,4888949,0,0,,0,0
2020-03-06,Alabama,4888949,0,0,,0,0
2020-03-07,Alabama,4888949,0,0,,0,0
2020-03-08,Alabama,4888949,0,0,,0,0
2020-03-09,Alabama,4888949,0,0,,0,0
2020-03-10,Alabama,4888949,0,0,,0,0
2020-03-11,Alabama,4888949,0,0,,0,0
2020-03-12,Alabama,4888949,0,0,,0,0
2020-03-13,Alabama,4888949,0,0,6,6,0.2712477396
2020-03-14,Alabama,4888949,0,0,12,6,0.2712477396
2020-03-15,Alabama,4888949,6,0.8571428571,23,11,0.4972875226
2020-03-16,Alabama,4888949,0,0.8571428571,29,6,0.2712477396
2020-03-17,Alabama,4888949,10,2.285714286,39,10,0.452079566
2020-03-18,Alabama,4888949,5,3,51,12,0.5424954792
2020-03-19,Alabama,4888949,0,3,78,27,1.220614828
2020-03-20,Alabama,4888949,0,3,106,28,1.265822785
2020-03-21,Alabama,4888949,6,3.857142857,131,25,1.130198915
2020-03-22,Alabama,4888949,0,3,157,26,1.175406872
2020-03-23,Alabama,4888949,0,3,196,39,1.763110307
2020-03-24,Alabama,4888949,10,3,242,46,2.079566004
2020-03-25,Alabama,4888949,5,3,386,144,6.50994575
2020-03-26,Alabama,4888949,5,3.714285714,538,152,6.871609403
2020-03-27,Alabama,4888949,10,5.142857143,639,101,4.566003617
2020-03-28,Alabama,4888949,6,5.142857143,720,81,3.661844485
2020-03-29,Alabama,4888949,11,6.714285714,830,110,4.972875226
2020-03-30,Alabama,4888949,0,6.714285714,947,117,5.289330922
2020-03-31,Alabama,4888949,0,5.285714286,999,52,2.350813743
2020-04-01,Alabama,4888949,0,4.571428571,1108,109,4.927667269
2020-04-02,Alabama,4888949,5,4.571428571,1270,162,7.323688969
2020-04-03,Alabama,4888949,5,3.857142857,1535,265,11.9801085
2020-04-04,Alabama,4888949,0,3,1632,97,4.38517179
2020-04-05,Alabama,4888949,11,3,1840,208,9.403254973
2020-04-06,Alabama,4888949,14,5,2005,165,7.459312839
2020-04-07,Alabama,4888949,14,7,2197,192,8.679927667
2020-04-08,Alabama,4888949,24,10.42857143,2498,301,13.60759494
2020-04-09,Alabama,4888949,15,11.85714286,2838,340,15.37070524
2020-04-10,Alabama,4888949,5,11.85714286,3008,170,7.685352622
2020-04-11,Alabama,4888949,6,12.71428571,3262,254,11.48282098
2020-04-12,Alabama,4888949,0,11.14285714,3583,321,14.51175407
2020-04-13,Alabama,4888949,9,10.42857143,3805,222,10.03616637
2020-04-14,Alabama,4888949,10,9.857142857,3953,148,6.690777577
2020-04-15,Alabama,4888949,9,7.714285714,4241,288,13.0198915
2020-04-16,Alabama,4888949,23,8.857142857,4404,163,7.368896926
2020-04-17,Alabama,4888949,19,10.85714286,4572,168,7.594936709
2020-04-18,Alabama,4888949,5,10.71428571,4723,151,6.826401447
2020-04-19,Alabama,4888949,10,12.14285714,4903,180,8.137432188
2020-04-20,Alabama,4888949,14,12.85714286,5078,175,7.911392405
2020-04-21,Alabama,4888949,10,12.85714286,5327,249,11.25678119
2020-04-22,Alabama,4888949,10,13,5610,283,12.79385172
2020-04-23,Alabama,4888949,18,12.28571429,5832,222,10.03616637
2020-04-24,Alabama,4888949,9,10.85714286,6026,194,8.77034358
2020-04-25,Alabama,4888949,21,13.14285714,6213,187,8.453887884
2020-04-26,Alabama,4888949,22,14.85714286,6421,208,9.403254973
2020-04-27,Alabama,4888949,10,14.28571429,6539,118,5.334538879
2020-04-28,Alabama,4888949,10,14.28571429,6750,211,9.538878843
