Category: All categories

Day,"""covid symptoms"": (Alaska)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,30
2020-03-11,0
2020-03-12,30
2020-03-13,0
2020-03-14,69
2020-03-15,35
2020-03-16,0
2020-03-17,0
2020-03-18,59
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,28
2020-03-25,27
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,29
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,28
2020-04-05,0
2020-04-06,25
2020-04-07,39
2020-04-08,25
2020-04-09,53
2020-04-10,40
2020-04-11,0
2020-04-12,0
2020-04-13,52
2020-04-14,25
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,29
2020-04-19,0
2020-04-20,25
2020-04-21,26
2020-04-22,25
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,30
2020-04-27,26
2020-04-28,25
2020-04-29,38
2020-04-30,0
2020-05-01,26
2020-05-02,30
2020-05-03,31
2020-05-04,0
2020-05-05,25
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,100
2020-05-11,0
2020-05-12,27
2020-05-13,0
2020-05-14,56
2020-05-15,0
2020-05-16,33
2020-05-17,34
2020-05-18,0
2020-05-19,0
2020-05-20,27
2020-05-21,28
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,31
2020-05-26,56
2020-05-27,28
2020-05-28,59
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,41
2020-06-02,29
2020-06-03,0
2020-06-04,0
2020-06-05,29
2020-06-06,34
2020-06-07,35
2020-06-08,0
2020-06-09,27
2020-06-10,29
2020-06-11,30
2020-06-12,31
2020-06-13,0
2020-06-14,36
2020-06-15,29
2020-06-16,29
2020-06-17,30
2020-06-18,58
2020-06-19,29
2020-06-20,66
2020-06-21,68
2020-06-22,0
2020-06-23,58
2020-06-24,30
2020-06-25,30
2020-06-26,30
2020-06-27,0
2020-06-28,68
2020-06-29,28
2020-06-30,29
2020-07-01,30
2020-07-02,31
2020-07-03,34
2020-07-04,78
2020-07-05,58
2020-07-06,30
2020-07-07,44
2020-07-08,44
2020-07-09,45
2020-07-10,0
2020-07-11,35
2020-07-12,0
2020-07-13,30
2020-07-14,61
2020-07-15,30
2020-07-16,31
2020-07-17,46
2020-07-18,70
2020-07-19,0
