Category: All categories

Day,"""covid symptoms"": (Idaho)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,10
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,10
2020-03-14,11
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,10
2020-03-19,10
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,9
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,10
2020-03-29,0
2020-03-30,9
2020-03-31,8
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,31
2020-04-05,0
2020-04-06,8
2020-04-07,26
2020-04-08,36
2020-04-09,54
2020-04-10,9
2020-04-11,20
2020-04-12,0
2020-04-13,27
2020-04-14,9
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,10
2020-04-19,10
2020-04-20,17
2020-04-21,17
2020-04-22,18
2020-04-23,8
2020-04-24,0
2020-04-25,10
2020-04-26,11
2020-04-27,9
2020-04-28,9
2020-04-29,27
2020-04-30,8
2020-05-01,0
2020-05-02,21
2020-05-03,10
2020-05-04,9
2020-05-05,17
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,32
2020-05-10,11
2020-05-11,19
2020-05-12,27
2020-05-13,18
2020-05-14,9
2020-05-15,0
2020-05-16,32
2020-05-17,0
2020-05-18,9
2020-05-19,0
2020-05-20,17
2020-05-21,28
2020-05-22,10
2020-05-23,11
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,10
2020-05-29,10
2020-05-30,11
2020-05-31,21
2020-06-01,0
2020-06-02,0
2020-06-03,9
2020-06-04,0
2020-06-05,9
2020-06-06,0
2020-06-07,31
2020-06-08,0
2020-06-09,18
2020-06-10,10
2020-06-11,10
2020-06-12,10
2020-06-13,11
2020-06-14,0
2020-06-15,0
2020-06-16,37
2020-06-17,19
2020-06-18,10
2020-06-19,10
2020-06-20,11
2020-06-21,12
2020-06-22,30
2020-06-23,10
2020-06-24,20
2020-06-25,10
2020-06-26,30
2020-06-27,11
2020-06-28,32
2020-06-29,9
2020-06-30,29
2020-07-01,100
2020-07-02,50
2020-07-03,22
2020-07-04,62
2020-07-05,40
2020-07-06,40
2020-07-07,40
2020-07-08,61
2020-07-09,59
2020-07-10,32
2020-07-11,46
2020-07-12,23
2020-07-13,68
2020-07-14,60
2020-07-15,31
2020-07-16,10
2020-07-17,43
2020-07-18,24
2020-07-19,48
