Category: All categories

Day,"""covid symptoms"": (Illinois)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,3
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,3
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,3
2020-03-03,0
2020-03-04,0
2020-03-05,3
2020-03-06,0
2020-03-07,3
2020-03-08,3
2020-03-09,0
2020-03-10,0
2020-03-11,3
2020-03-12,8
2020-03-13,10
2020-03-14,11
2020-03-15,12
2020-03-16,12
2020-03-17,17
2020-03-18,19
2020-03-19,4
2020-03-20,12
2020-03-21,10
2020-03-22,12
2020-03-23,15
2020-03-24,9
2020-03-25,7
2020-03-26,12
2020-03-27,16
2020-03-28,11
2020-03-29,10
2020-03-30,9
2020-03-31,14
2020-04-01,17
2020-04-02,19
2020-04-03,22
2020-04-04,14
2020-04-05,12
2020-04-06,35
2020-04-07,43
2020-04-08,42
2020-04-09,41
2020-04-10,52
2020-04-11,34
2020-04-12,54
2020-04-13,48
2020-04-14,54
2020-04-15,28
2020-04-16,41
2020-04-17,40
2020-04-18,27
2020-04-19,28
2020-04-20,38
2020-04-21,37
2020-04-22,23
2020-04-23,33
2020-04-24,46
2020-04-25,34
2020-04-26,39
2020-04-27,53
2020-04-28,29
2020-04-29,29
2020-04-30,36
2020-05-01,32
2020-05-02,30
2020-05-03,33
2020-05-04,30
2020-05-05,36
2020-05-06,38
2020-05-07,34
2020-05-08,35
2020-05-09,42
2020-05-10,36
2020-05-11,40
2020-05-12,37
2020-05-13,40
2020-05-14,39
2020-05-15,26
2020-05-16,38
2020-05-17,27
2020-05-18,31
2020-05-19,29
2020-05-20,41
2020-05-21,38
2020-05-22,33
2020-05-23,39
2020-05-24,19
2020-05-25,36
2020-05-26,40
2020-05-27,36
2020-05-28,29
2020-05-29,27
2020-05-30,36
2020-05-31,17
2020-06-01,28
2020-06-02,30
2020-06-03,31
2020-06-04,22
2020-06-05,17
2020-06-06,26
2020-06-07,14
2020-06-08,10
2020-06-09,25
2020-06-10,38
2020-06-11,19
2020-06-12,27
2020-06-13,27
2020-06-14,21
2020-06-15,33
2020-06-16,25
2020-06-17,33
2020-06-18,27
2020-06-19,20
2020-06-20,16
2020-06-21,27
2020-06-22,37
2020-06-23,25
2020-06-24,26
2020-06-25,32
2020-06-26,38
2020-06-27,47
2020-06-28,53
2020-06-29,61
2020-06-30,52
2020-07-01,50
2020-07-02,57
2020-07-03,53
2020-07-04,28
2020-07-05,51
2020-07-06,52
2020-07-07,70
2020-07-08,85
2020-07-09,69
2020-07-10,77
2020-07-11,48
2020-07-12,74
2020-07-13,91
2020-07-14,100
2020-07-15,67
2020-07-16,48
2020-07-17,53
2020-07-18,54
2020-07-19,42
