Category: All categories

Day,"""covid symptoms"": (Indiana)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,6
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,5
2020-03-13,6
2020-03-14,0
2020-03-15,7
2020-03-16,8
2020-03-17,9
2020-03-18,8
2020-03-19,6
2020-03-20,5
2020-03-21,12
2020-03-22,18
2020-03-23,5
2020-03-24,11
2020-03-25,11
2020-03-26,12
2020-03-27,11
2020-03-28,6
2020-03-29,12
2020-03-30,14
2020-03-31,16
2020-04-01,16
2020-04-02,19
2020-04-03,17
2020-04-04,6
2020-04-05,21
2020-04-06,13
2020-04-07,42
2020-04-08,41
2020-04-09,24
2020-04-10,30
2020-04-11,34
2020-04-12,24
2020-04-13,34
2020-04-14,31
2020-04-15,31
2020-04-16,25
2020-04-17,25
2020-04-18,18
2020-04-19,12
2020-04-20,31
2020-04-21,26
2020-04-22,13
2020-04-23,30
2020-04-24,32
2020-04-25,14
2020-04-26,29
2020-04-27,21
2020-04-28,16
2020-04-29,15
2020-04-30,31
2020-05-01,27
2020-05-02,16
2020-05-03,24
2020-05-04,23
2020-05-05,31
2020-05-06,44
2020-05-07,24
2020-05-08,19
2020-05-09,45
2020-05-10,12
2020-05-11,42
2020-05-12,24
2020-05-13,21
2020-05-14,21
2020-05-15,42
2020-05-16,28
2020-05-17,21
2020-05-18,18
2020-05-19,34
2020-05-20,26
2020-05-21,39
2020-05-22,20
2020-05-23,19
2020-05-24,33
2020-05-25,32
2020-05-26,26
2020-05-27,20
2020-05-28,14
2020-05-29,20
2020-05-30,30
2020-05-31,17
2020-06-01,26
2020-06-02,23
2020-06-03,27
2020-06-04,33
2020-06-05,22
2020-06-06,20
2020-06-07,40
2020-06-08,25
2020-06-09,19
2020-06-10,22
2020-06-11,12
2020-06-12,15
2020-06-13,31
2020-06-14,24
2020-06-15,29
2020-06-16,32
2020-06-17,30
2020-06-18,21
2020-06-19,24
2020-06-20,20
2020-06-21,13
2020-06-22,26
2020-06-23,15
2020-06-24,21
2020-06-25,21
2020-06-26,31
2020-06-27,23
2020-06-28,48
2020-06-29,47
2020-06-30,52
2020-07-01,47
2020-07-02,34
2020-07-03,23
2020-07-04,48
2020-07-05,37
2020-07-06,65
2020-07-07,60
2020-07-08,50
2020-07-09,78
2020-07-10,31
2020-07-11,60
2020-07-12,73
2020-07-13,99
2020-07-14,100
2020-07-15,97
2020-07-16,47
2020-07-17,42
2020-07-18,50
2020-07-19,48
