Category: All categories

Day,"""covid symptoms"": (Kansas)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,9
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,11
2020-03-15,0
2020-03-16,10
2020-03-17,0
2020-03-18,19
2020-03-19,0
2020-03-20,18
2020-03-21,0
2020-03-22,0
2020-03-23,18
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,9
2020-03-28,10
2020-03-29,0
2020-03-30,9
2020-03-31,9
2020-04-01,9
2020-04-02,9
2020-04-03,9
2020-04-04,0
2020-04-05,10
2020-04-06,8
2020-04-07,0
2020-04-08,27
2020-04-09,35
2020-04-10,46
2020-04-11,83
2020-04-12,30
2020-04-13,17
2020-04-14,58
2020-04-15,8
2020-04-16,0
2020-04-17,8
2020-04-18,0
2020-04-19,10
2020-04-20,9
2020-04-21,53
2020-04-22,25
2020-04-23,9
2020-04-24,8
2020-04-25,30
2020-04-26,20
2020-04-27,9
2020-04-28,26
2020-04-29,8
2020-04-30,0
2020-05-01,9
2020-05-02,10
2020-05-03,31
2020-05-04,8
2020-05-05,32
2020-05-06,36
2020-05-07,8
2020-05-08,0
2020-05-09,21
2020-05-10,11
2020-05-11,17
2020-05-12,9
2020-05-13,9
2020-05-14,9
2020-05-15,0
2020-05-16,21
2020-05-17,11
2020-05-18,36
2020-05-19,28
2020-05-20,28
2020-05-21,0
2020-05-22,29
2020-05-23,11
2020-05-24,0
2020-05-25,20
2020-05-26,9
2020-05-27,28
2020-05-28,9
2020-05-29,0
2020-05-30,22
2020-05-31,34
2020-06-01,19
2020-06-02,0
2020-06-03,19
2020-06-04,0
2020-06-05,9
2020-06-06,11
2020-06-07,11
2020-06-08,18
2020-06-09,0
2020-06-10,48
2020-06-11,40
2020-06-12,31
2020-06-13,12
2020-06-14,11
2020-06-15,19
2020-06-16,0
2020-06-17,10
2020-06-18,0
2020-06-19,39
2020-06-20,22
2020-06-21,24
2020-06-22,29
2020-06-23,0
2020-06-24,10
2020-06-25,10
2020-06-26,71
2020-06-27,36
2020-06-28,45
2020-06-29,60
2020-06-30,100
2020-07-01,82
2020-07-02,31
2020-07-03,11
2020-07-04,39
2020-07-05,93
2020-07-06,78
2020-07-07,56
2020-07-08,47
2020-07-09,48
2020-07-10,90
2020-07-11,22
2020-07-12,45
2020-07-13,49
2020-07-14,80
2020-07-15,20
2020-07-16,31
2020-07-17,41
2020-07-18,24
2020-07-19,12
