Category: All categories

Day,"""covid symptoms"": (Kentucky)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,6
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,6
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,6
2020-03-17,12
2020-03-18,0
2020-03-19,12
2020-03-20,0
2020-03-21,0
2020-03-22,6
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,6
2020-03-30,6
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,7
2020-04-05,7
2020-04-06,6
2020-04-07,0
2020-04-08,23
2020-04-09,22
2020-04-10,23
2020-04-11,26
2020-04-12,13
2020-04-13,5
2020-04-14,32
2020-04-15,41
2020-04-16,16
2020-04-17,5
2020-04-18,6
2020-04-19,24
2020-04-20,5
2020-04-21,22
2020-04-22,11
2020-04-23,16
2020-04-24,0
2020-04-25,12
2020-04-26,17
2020-04-27,11
2020-04-28,11
2020-04-29,5
2020-04-30,20
2020-05-01,17
2020-05-02,7
2020-05-03,19
2020-05-04,6
2020-05-05,15
2020-05-06,28
2020-05-07,11
2020-05-08,6
2020-05-09,13
2020-05-10,0
2020-05-11,17
2020-05-12,23
2020-05-13,28
2020-05-14,46
2020-05-15,6
2020-05-16,0
2020-05-17,6
2020-05-18,17
2020-05-19,28
2020-05-20,23
2020-05-21,0
2020-05-22,0
2020-05-23,7
2020-05-24,20
2020-05-25,20
2020-05-26,12
2020-05-27,17
2020-05-28,12
2020-05-29,12
2020-05-30,21
2020-05-31,28
2020-06-01,6
2020-06-02,6
2020-06-03,12
2020-06-04,12
2020-06-05,6
2020-06-06,7
2020-06-07,0
2020-06-08,17
2020-06-09,23
2020-06-10,18
2020-06-11,19
2020-06-12,19
2020-06-13,7
2020-06-14,0
2020-06-15,25
2020-06-16,6
2020-06-17,13
2020-06-18,13
2020-06-19,0
2020-06-20,0
2020-06-21,14
2020-06-22,19
2020-06-23,6
2020-06-24,13
2020-06-25,6
2020-06-26,39
2020-06-27,14
2020-06-28,33
2020-06-29,19
2020-06-30,31
2020-07-01,46
2020-07-02,13
2020-07-03,42
2020-07-04,23
2020-07-05,47
2020-07-06,25
2020-07-07,25
2020-07-08,65
2020-07-09,39
2020-07-10,52
2020-07-11,52
2020-07-12,100
2020-07-13,44
2020-07-14,40
2020-07-15,46
2020-07-16,20
2020-07-17,20
2020-07-18,30
2020-07-19,36
