Category: All categories

Day,"""covid symptoms"": (Maine)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,28
2020-03-14,0
2020-03-15,31
2020-03-16,54
2020-03-17,26
2020-03-18,27
2020-03-19,0
2020-03-20,26
2020-03-21,0
2020-03-22,28
2020-03-23,48
2020-03-24,25
2020-03-25,25
2020-03-26,25
2020-03-27,0
2020-03-28,0
2020-03-29,53
2020-03-30,23
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,24
2020-04-04,0
2020-04-05,28
2020-04-06,73
2020-04-07,37
2020-04-08,61
2020-04-09,23
2020-04-10,52
2020-04-11,28
2020-04-12,28
2020-04-13,0
2020-04-14,24
2020-04-15,46
2020-04-16,47
2020-04-17,25
2020-04-18,79
2020-04-19,0
2020-04-20,37
2020-04-21,24
2020-04-22,0
2020-04-23,38
2020-04-24,38
2020-04-25,59
2020-04-26,27
2020-04-27,0
2020-04-28,24
2020-04-29,0
2020-04-30,34
2020-05-01,46
2020-05-02,29
2020-05-03,56
2020-05-04,0
2020-05-05,22
2020-05-06,37
2020-05-07,25
2020-05-08,0
2020-05-09,26
2020-05-10,28
2020-05-11,75
2020-05-12,49
2020-05-13,62
2020-05-14,52
2020-05-15,25
2020-05-16,29
2020-05-17,30
2020-05-18,38
2020-05-19,76
2020-05-20,26
2020-05-21,52
2020-05-22,27
2020-05-23,30
2020-05-24,62
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,25
2020-05-29,0
2020-05-30,29
2020-05-31,57
2020-06-01,51
2020-06-02,51
2020-06-03,24
2020-06-04,73
2020-06-05,24
2020-06-06,28
2020-06-07,28
2020-06-08,37
2020-06-09,0
2020-06-10,26
2020-06-11,37
2020-06-12,27
2020-06-13,76
2020-06-14,30
2020-06-15,66
2020-06-16,0
2020-06-17,27
2020-06-18,27
2020-06-19,0
2020-06-20,30
2020-06-21,90
2020-06-22,26
2020-06-23,27
2020-06-24,0
2020-06-25,0
2020-06-26,54
2020-06-27,30
2020-06-28,42
2020-06-29,48
2020-06-30,73
2020-07-01,52
2020-07-02,80
2020-07-03,27
2020-07-04,31
2020-07-05,70
2020-07-06,77
2020-07-07,27
2020-07-08,25
2020-07-09,54
2020-07-10,81
2020-07-11,28
2020-07-12,43
2020-07-13,100
2020-07-14,37
2020-07-15,27
2020-07-16,0
2020-07-17,53
2020-07-18,32
2020-07-19,61
