Category: All categories

Day,"""covid symptoms"": (Arizona)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,4
2020-03-06,4
2020-03-07,0
2020-03-08,4
2020-03-09,0
2020-03-10,0
2020-03-11,4
2020-03-12,4
2020-03-13,4
2020-03-14,9
2020-03-15,11
2020-03-16,11
2020-03-17,8
2020-03-18,7
2020-03-19,11
2020-03-20,7
2020-03-21,6
2020-03-22,8
2020-03-23,5
2020-03-24,4
2020-03-25,9
2020-03-26,19
2020-03-27,5
2020-03-28,4
2020-03-29,17
2020-03-30,4
2020-03-31,5
2020-04-01,14
2020-04-02,5
2020-04-03,11
2020-04-04,10
2020-04-05,12
2020-04-06,18
2020-04-07,22
2020-04-08,13
2020-04-09,25
2020-04-10,23
2020-04-11,14
2020-04-12,13
2020-04-13,7
2020-04-14,14
2020-04-15,23
2020-04-16,18
2020-04-17,20
2020-04-18,28
2020-04-19,20
2020-04-20,18
2020-04-21,21
2020-04-22,16
2020-04-23,14
2020-04-24,30
2020-04-25,14
2020-04-26,12
2020-04-27,23
2020-04-28,14
2020-04-29,19
2020-04-30,18
2020-05-01,11
2020-05-02,20
2020-05-03,25
2020-05-04,26
2020-05-05,7
2020-05-06,21
2020-05-07,18
2020-05-08,22
2020-05-09,10
2020-05-10,15
2020-05-11,19
2020-05-12,15
2020-05-13,42
2020-05-14,15
2020-05-15,22
2020-05-16,14
2020-05-17,17
2020-05-18,18
2020-05-19,22
2020-05-20,21
2020-05-21,17
2020-05-22,15
2020-05-23,32
2020-05-24,17
2020-05-25,33
2020-05-26,30
2020-05-27,19
2020-05-28,30
2020-05-29,21
2020-05-30,25
2020-05-31,22
2020-06-01,16
2020-06-02,19
2020-06-03,23
2020-06-04,30
2020-06-05,20
2020-06-06,14
2020-06-07,25
2020-06-08,25
2020-06-09,18
2020-06-10,32
2020-06-11,41
2020-06-12,36
2020-06-13,19
2020-06-14,27
2020-06-15,26
2020-06-16,60
2020-06-17,60
2020-06-18,53
2020-06-19,46
2020-06-20,62
2020-06-21,54
2020-06-22,60
2020-06-23,54
2020-06-24,33
2020-06-25,29
2020-06-26,90
2020-06-27,83
2020-06-28,80
2020-06-29,95
2020-06-30,100
2020-07-01,74
2020-07-02,74
2020-07-03,64
2020-07-04,56
2020-07-05,46
2020-07-06,69
2020-07-07,77
2020-07-08,57
2020-07-09,64
2020-07-10,72
2020-07-11,44
2020-07-12,53
2020-07-13,63
2020-07-14,61
2020-07-15,51
2020-07-16,33
2020-07-17,29
2020-07-18,27
2020-07-19,37
