Category: All categories

Day,"""covid symptoms"": (Massachusetts)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,8
2020-03-02,0
2020-03-03,0
2020-03-04,6
2020-03-05,0
2020-03-06,0
2020-03-07,8
2020-03-08,15
2020-03-09,6
2020-03-10,6
2020-03-11,28
2020-03-12,22
2020-03-13,23
2020-03-14,16
2020-03-15,11
2020-03-16,32
2020-03-17,22
2020-03-18,16
2020-03-19,16
2020-03-20,12
2020-03-21,22
2020-03-22,7
2020-03-23,12
2020-03-24,12
2020-03-25,22
2020-03-26,19
2020-03-27,16
2020-03-28,35
2020-03-29,20
2020-03-30,12
2020-03-31,24
2020-04-01,24
2020-04-02,23
2020-04-03,47
2020-04-04,28
2020-04-05,14
2020-04-06,18
2020-04-07,52
2020-04-08,68
2020-04-09,43
2020-04-10,46
2020-04-11,62
2020-04-12,43
2020-04-13,41
2020-04-14,45
2020-04-15,52
2020-04-16,40
2020-04-17,56
2020-04-18,89
2020-04-19,63
2020-04-20,33
2020-04-21,51
2020-04-22,56
2020-04-23,24
2020-04-24,47
2020-04-25,42
2020-04-26,69
2020-04-27,54
2020-04-28,50
2020-04-29,30
2020-04-30,33
2020-05-01,35
2020-05-02,28
2020-05-03,40
2020-05-04,47
2020-05-05,36
2020-05-06,41
2020-05-07,62
2020-05-08,42
2020-05-09,40
2020-05-10,49
2020-05-11,50
2020-05-12,33
2020-05-13,33
2020-05-14,37
2020-05-15,37
2020-05-16,33
2020-05-17,35
2020-05-18,40
2020-05-19,45
2020-05-20,37
2020-05-21,22
2020-05-22,26
2020-05-23,32
2020-05-24,34
2020-05-25,46
2020-05-26,37
2020-05-27,27
2020-05-28,18
2020-05-29,40
2020-05-30,29
2020-05-31,33
2020-06-01,24
2020-06-02,24
2020-06-03,23
2020-06-04,30
2020-06-05,12
2020-06-06,24
2020-06-07,42
2020-06-08,23
2020-06-09,20
2020-06-10,12
2020-06-11,23
2020-06-12,32
2020-06-13,15
2020-06-14,45
2020-06-15,13
2020-06-16,31
2020-06-17,32
2020-06-18,32
2020-06-19,20
2020-06-20,19
2020-06-21,23
2020-06-22,29
2020-06-23,22
2020-06-24,22
2020-06-25,20
2020-06-26,40
2020-06-27,48
2020-06-28,56
2020-06-29,65
2020-06-30,57
2020-07-01,32
2020-07-02,48
2020-07-03,54
2020-07-04,68
2020-07-05,61
2020-07-06,53
2020-07-07,89
2020-07-08,72
2020-07-09,77
2020-07-10,68
2020-07-11,42
2020-07-12,75
2020-07-13,100
2020-07-14,61
2020-07-15,46
2020-07-16,68
2020-07-17,62
2020-07-18,33
2020-07-19,52
