Category: All categories

Day,"""covid symptoms"": (Minnesota)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,4
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,4
2020-03-12,8
2020-03-13,8
2020-03-14,10
2020-03-15,5
2020-03-16,20
2020-03-17,8
2020-03-18,4
2020-03-19,8
2020-03-20,23
2020-03-21,9
2020-03-22,14
2020-03-23,8
2020-03-24,8
2020-03-25,12
2020-03-26,20
2020-03-27,16
2020-03-28,9
2020-03-29,18
2020-03-30,19
2020-03-31,19
2020-04-01,0
2020-04-02,4
2020-04-03,4
2020-04-04,9
2020-04-05,9
2020-04-06,15
2020-04-07,15
2020-04-08,22
2020-04-09,40
2020-04-10,32
2020-04-11,65
2020-04-12,22
2020-04-13,52
2020-04-14,22
2020-04-15,25
2020-04-16,40
2020-04-17,22
2020-04-18,22
2020-04-19,22
2020-04-20,36
2020-04-21,29
2020-04-22,23
2020-04-23,26
2020-04-24,23
2020-04-25,9
2020-04-26,27
2020-04-27,26
2020-04-28,47
2020-04-29,30
2020-04-30,18
2020-05-01,56
2020-05-02,23
2020-05-03,9
2020-05-04,31
2020-05-05,24
2020-05-06,19
2020-05-07,38
2020-05-08,23
2020-05-09,27
2020-05-10,26
2020-05-11,34
2020-05-12,8
2020-05-13,25
2020-05-14,34
2020-05-15,24
2020-05-16,14
2020-05-17,21
2020-05-18,19
2020-05-19,42
2020-05-20,35
2020-05-21,40
2020-05-22,20
2020-05-23,19
2020-05-24,29
2020-05-25,32
2020-05-26,38
2020-05-27,31
2020-05-28,16
2020-05-29,8
2020-05-30,33
2020-05-31,29
2020-06-01,8
2020-06-02,23
2020-06-03,27
2020-06-04,31
2020-06-05,16
2020-06-06,39
2020-06-07,19
2020-06-08,8
2020-06-09,11
2020-06-10,24
2020-06-11,12
2020-06-12,26
2020-06-13,30
2020-06-14,30
2020-06-15,16
2020-06-16,31
2020-06-17,12
2020-06-18,36
2020-06-19,21
2020-06-20,10
2020-06-21,15
2020-06-22,34
2020-06-23,34
2020-06-24,17
2020-06-25,26
2020-06-26,39
2020-06-27,31
2020-06-28,44
2020-06-29,61
2020-06-30,80
2020-07-01,64
2020-07-02,39
2020-07-03,45
2020-07-04,44
2020-07-05,21
2020-07-06,58
2020-07-07,63
2020-07-08,51
2020-07-09,93
2020-07-10,100
2020-07-11,46
2020-07-12,36
2020-07-13,94
2020-07-14,82
2020-07-15,56
2020-07-16,35
2020-07-17,23
2020-07-18,41
2020-07-19,57
