Category: All categories

Day,"""covid symptoms"": (Missouri)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,4
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,5
2020-03-09,0
2020-03-10,4
2020-03-11,4
2020-03-12,8
2020-03-13,0
2020-03-14,9
2020-03-15,5
2020-03-16,4
2020-03-17,8
2020-03-18,8
2020-03-19,10
2020-03-20,13
2020-03-21,11
2020-03-22,8
2020-03-23,9
2020-03-24,4
2020-03-25,6
2020-03-26,8
2020-03-27,7
2020-03-28,0
2020-03-29,4
2020-03-30,6
2020-03-31,7
2020-04-01,4
2020-04-02,7
2020-04-03,11
2020-04-04,6
2020-04-05,8
2020-04-06,9
2020-04-07,26
2020-04-08,30
2020-04-09,30
2020-04-10,20
2020-04-11,32
2020-04-12,19
2020-04-13,14
2020-04-14,22
2020-04-15,17
2020-04-16,18
2020-04-17,16
2020-04-18,13
2020-04-19,13
2020-04-20,16
2020-04-21,15
2020-04-22,15
2020-04-23,14
2020-04-24,9
2020-04-25,16
2020-04-26,15
2020-04-27,17
2020-04-28,22
2020-04-29,12
2020-04-30,14
2020-05-01,27
2020-05-02,20
2020-05-03,26
2020-05-04,19
2020-05-05,10
2020-05-06,28
2020-05-07,8
2020-05-08,11
2020-05-09,22
2020-05-10,22
2020-05-11,26
2020-05-12,15
2020-05-13,18
2020-05-14,13
2020-05-15,13
2020-05-16,10
2020-05-17,17
2020-05-18,11
2020-05-19,15
2020-05-20,21
2020-05-21,20
2020-05-22,14
2020-05-23,32
2020-05-24,14
2020-05-25,11
2020-05-26,19
2020-05-27,13
2020-05-28,25
2020-05-29,14
2020-05-30,11
2020-05-31,11
2020-06-01,12
2020-06-02,8
2020-06-03,11
2020-06-04,22
2020-06-05,9
2020-06-06,13
2020-06-07,25
2020-06-08,24
2020-06-09,18
2020-06-10,12
2020-06-11,16
2020-06-12,14
2020-06-13,16
2020-06-14,16
2020-06-15,24
2020-06-16,6
2020-06-17,22
2020-06-18,30
2020-06-19,12
2020-06-20,11
2020-06-21,19
2020-06-22,20
2020-06-23,24
2020-06-24,14
2020-06-25,21
2020-06-26,29
2020-06-27,37
2020-06-28,47
2020-06-29,32
2020-06-30,37
2020-07-01,57
2020-07-02,35
2020-07-03,47
2020-07-04,43
2020-07-05,39
2020-07-06,55
2020-07-07,73
2020-07-08,84
2020-07-09,100
2020-07-10,54
2020-07-11,48
2020-07-12,56
2020-07-13,58
2020-07-14,68
2020-07-15,77
2020-07-16,32
2020-07-17,37
2020-07-18,52
2020-07-19,48
