Category: All categories

Day,"""covid symptoms"": (Nevada)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,10
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,9
2020-03-13,0
2020-03-14,0
2020-03-15,10
2020-03-16,9
2020-03-17,19
2020-03-18,9
2020-03-19,10
2020-03-20,0
2020-03-21,11
2020-03-22,11
2020-03-23,0
2020-03-24,10
2020-03-25,9
2020-03-26,10
2020-03-27,0
2020-03-28,10
2020-03-29,16
2020-03-30,18
2020-03-31,0
2020-04-01,18
2020-04-02,18
2020-04-03,9
2020-04-04,10
2020-04-05,10
2020-04-06,28
2020-04-07,28
2020-04-08,61
2020-04-09,24
2020-04-10,24
2020-04-11,32
2020-04-12,31
2020-04-13,28
2020-04-14,27
2020-04-15,35
2020-04-16,17
2020-04-17,36
2020-04-18,25
2020-04-19,25
2020-04-20,27
2020-04-21,32
2020-04-22,18
2020-04-23,13
2020-04-24,18
2020-04-25,20
2020-04-26,15
2020-04-27,32
2020-04-28,18
2020-04-29,9
2020-04-30,16
2020-05-01,9
2020-05-02,25
2020-05-03,20
2020-05-04,23
2020-05-05,17
2020-05-06,18
2020-05-07,32
2020-05-08,18
2020-05-09,30
2020-05-10,21
2020-05-11,23
2020-05-12,22
2020-05-13,14
2020-05-14,31
2020-05-15,14
2020-05-16,30
2020-05-17,36
2020-05-18,23
2020-05-19,32
2020-05-20,31
2020-05-21,9
2020-05-22,0
2020-05-23,10
2020-05-24,27
2020-05-25,26
2020-05-26,23
2020-05-27,27
2020-05-28,18
2020-05-29,37
2020-05-30,10
2020-05-31,20
2020-06-01,23
2020-06-02,23
2020-06-03,18
2020-06-04,13
2020-06-05,18
2020-06-06,20
2020-06-07,0
2020-06-08,9
2020-06-09,18
2020-06-10,28
2020-06-11,28
2020-06-12,9
2020-06-13,20
2020-06-14,31
2020-06-15,9
2020-06-16,26
2020-06-17,36
2020-06-18,28
2020-06-19,10
2020-06-20,21
2020-06-21,16
2020-06-22,24
2020-06-23,19
2020-06-24,0
2020-06-25,24
2020-06-26,29
2020-06-27,26
2020-06-28,25
2020-06-29,47
2020-06-30,65
2020-07-01,59
2020-07-02,39
2020-07-03,71
2020-07-04,27
2020-07-05,34
2020-07-06,82
2020-07-07,44
2020-07-08,100
2020-07-09,69
2020-07-10,40
2020-07-11,54
2020-07-12,26
2020-07-13,58
2020-07-14,58
2020-07-15,59
2020-07-16,60
2020-07-17,35
2020-07-18,38
2020-07-19,38
