Category: All categories

Day,"""covid symptoms"": (New Jersey)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,6
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,6
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,6
2020-02-29,0
2020-03-01,0
2020-03-02,6
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,6
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,6
2020-03-12,9
2020-03-13,15
2020-03-14,7
2020-03-15,13
2020-03-16,32
2020-03-17,22
2020-03-18,22
2020-03-19,11
2020-03-20,11
2020-03-21,25
2020-03-22,9
2020-03-23,10
2020-03-24,22
2020-03-25,11
2020-03-26,16
2020-03-27,8
2020-03-28,24
2020-03-29,9
2020-03-30,25
2020-03-31,13
2020-04-01,31
2020-04-02,13
2020-04-03,16
2020-04-04,25
2020-04-05,19
2020-04-06,37
2020-04-07,37
2020-04-08,63
2020-04-09,59
2020-04-10,54
2020-04-11,59
2020-04-12,57
2020-04-13,40
2020-04-14,38
2020-04-15,47
2020-04-16,55
2020-04-17,37
2020-04-18,59
2020-04-19,51
2020-04-20,45
2020-04-21,45
2020-04-22,28
2020-04-23,55
2020-04-24,45
2020-04-25,31
2020-04-26,51
2020-04-27,59
2020-04-28,44
2020-04-29,37
2020-04-30,28
2020-05-01,33
2020-05-02,31
2020-05-03,25
2020-05-04,40
2020-05-05,43
2020-05-06,39
2020-05-07,41
2020-05-08,35
2020-05-09,38
2020-05-10,43
2020-05-11,38
2020-05-12,44
2020-05-13,26
2020-05-14,33
2020-05-15,32
2020-05-16,32
2020-05-17,34
2020-05-18,28
2020-05-19,18
2020-05-20,34
2020-05-21,21
2020-05-22,35
2020-05-23,32
2020-05-24,13
2020-05-25,19
2020-05-26,37
2020-05-27,36
2020-05-28,33
2020-05-29,21
2020-05-30,25
2020-05-31,13
2020-06-01,47
2020-06-02,26
2020-06-03,12
2020-06-04,20
2020-06-05,25
2020-06-06,19
2020-06-07,29
2020-06-08,25
2020-06-09,25
2020-06-10,21
2020-06-11,15
2020-06-12,19
2020-06-13,20
2020-06-14,13
2020-06-15,19
2020-06-16,29
2020-06-17,22
2020-06-18,8
2020-06-19,29
2020-06-20,26
2020-06-21,33
2020-06-22,42
2020-06-23,25
2020-06-24,17
2020-06-25,14
2020-06-26,41
2020-06-27,60
2020-06-28,53
2020-06-29,40
2020-06-30,94
2020-07-01,76
2020-07-02,47
2020-07-03,61
2020-07-04,39
2020-07-05,51
2020-07-06,56
2020-07-07,73
2020-07-08,100
2020-07-09,70
2020-07-10,68
2020-07-11,78
2020-07-12,61
2020-07-13,46
2020-07-14,44
2020-07-15,47
2020-07-16,60
2020-07-17,21
2020-07-18,59
2020-07-19,44
