Category: All categories

Day,"""covid symptoms"": (Arkansas)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,8
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,9
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,17
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,18
2020-03-25,9
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,8
2020-03-31,0
2020-04-01,0
2020-04-02,8
2020-04-03,8
2020-04-04,0
2020-04-05,0
2020-04-06,16
2020-04-07,8
2020-04-08,0
2020-04-09,8
2020-04-10,35
2020-04-11,0
2020-04-12,28
2020-04-13,0
2020-04-14,24
2020-04-15,16
2020-04-16,0
2020-04-17,8
2020-04-18,28
2020-04-19,27
2020-04-20,8
2020-04-21,8
2020-04-22,0
2020-04-23,8
2020-04-24,0
2020-04-25,9
2020-04-26,39
2020-04-27,16
2020-04-28,16
2020-04-29,16
2020-04-30,23
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,8
2020-05-06,0
2020-05-07,0
2020-05-08,8
2020-05-09,20
2020-05-10,0
2020-05-11,34
2020-05-12,16
2020-05-13,0
2020-05-14,16
2020-05-15,8
2020-05-16,18
2020-05-17,9
2020-05-18,8
2020-05-19,0
2020-05-20,17
2020-05-21,35
2020-05-22,0
2020-05-23,40
2020-05-24,10
2020-05-25,9
2020-05-26,17
2020-05-27,17
2020-05-28,26
2020-05-29,0
2020-05-30,10
2020-05-31,41
2020-06-01,18
2020-06-02,62
2020-06-03,0
2020-06-04,0
2020-06-05,25
2020-06-06,10
2020-06-07,10
2020-06-08,40
2020-06-09,32
2020-06-10,52
2020-06-11,0
2020-06-12,55
2020-06-13,0
2020-06-14,21
2020-06-15,27
2020-06-16,9
2020-06-17,27
2020-06-18,18
2020-06-19,19
2020-06-20,20
2020-06-21,21
2020-06-22,9
2020-06-23,18
2020-06-24,0
2020-06-25,45
2020-06-26,19
2020-06-27,51
2020-06-28,10
2020-06-29,44
2020-06-30,36
2020-07-01,9
2020-07-02,55
2020-07-03,67
2020-07-04,55
2020-07-05,34
2020-07-06,36
2020-07-07,100
2020-07-08,73
2020-07-09,65
2020-07-10,75
2020-07-11,22
2020-07-12,53
2020-07-13,73
2020-07-14,9
2020-07-15,46
2020-07-16,28
2020-07-17,38
2020-07-18,11
2020-07-19,32
