Category: All categories

Day,"""covid symptoms"": (New York)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,4
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,6
2020-03-03,0
2020-03-04,11
2020-03-05,4
2020-03-06,5
2020-03-07,0
2020-03-08,0
2020-03-09,4
2020-03-10,8
2020-03-11,10
2020-03-12,26
2020-03-13,22
2020-03-14,35
2020-03-15,13
2020-03-16,29
2020-03-17,31
2020-03-18,32
2020-03-19,20
2020-03-20,22
2020-03-21,35
2020-03-22,26
2020-03-23,17
2020-03-24,27
2020-03-25,23
2020-03-26,27
2020-03-27,25
2020-03-28,37
2020-03-29,19
2020-03-30,29
2020-03-31,24
2020-04-01,29
2020-04-02,36
2020-04-03,25
2020-04-04,22
2020-04-05,32
2020-04-06,43
2020-04-07,87
2020-04-08,77
2020-04-09,73
2020-04-10,100
2020-04-11,78
2020-04-12,93
2020-04-13,55
2020-04-14,63
2020-04-15,60
2020-04-16,68
2020-04-17,72
2020-04-18,51
2020-04-19,60
2020-04-20,37
2020-04-21,62
2020-04-22,79
2020-04-23,79
2020-04-24,52
2020-04-25,52
2020-04-26,46
2020-04-27,57
2020-04-28,41
2020-04-29,66
2020-04-30,58
2020-05-01,43
2020-05-02,49
2020-05-03,56
2020-05-04,53
2020-05-05,39
2020-05-06,61
2020-05-07,44
2020-05-08,41
2020-05-09,69
2020-05-10,42
2020-05-11,52
2020-05-12,70
2020-05-13,51
2020-05-14,51
2020-05-15,42
2020-05-16,47
2020-05-17,44
2020-05-18,43
2020-05-19,44
2020-05-20,34
2020-05-21,52
2020-05-22,31
2020-05-23,42
2020-05-24,57
2020-05-25,38
2020-05-26,42
2020-05-27,38
2020-05-28,34
2020-05-29,32
2020-05-30,31
2020-05-31,22
2020-06-01,38
2020-06-02,21
2020-06-03,27
2020-06-04,24
2020-06-05,26
2020-06-06,26
2020-06-07,24
2020-06-08,23
2020-06-09,18
2020-06-10,24
2020-06-11,28
2020-06-12,27
2020-06-13,32
2020-06-14,55
2020-06-15,38
2020-06-16,24
2020-06-17,28
2020-06-18,23
2020-06-19,27
2020-06-20,33
2020-06-21,39
2020-06-22,37
2020-06-23,23
2020-06-24,25
2020-06-25,23
2020-06-26,47
2020-06-27,85
2020-06-28,67
2020-06-29,68
2020-06-30,92
2020-07-01,62
2020-07-02,51
2020-07-03,61
2020-07-04,62
2020-07-05,60
2020-07-06,63
2020-07-07,97
2020-07-08,99
2020-07-09,63
2020-07-10,72
2020-07-11,69
2020-07-12,84
2020-07-13,83
2020-07-14,68
2020-07-15,71
2020-07-16,51
2020-07-17,78
2020-07-18,61
2020-07-19,75
