Category: All categories

Day,"""covid symptoms"": (North Carolina)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,3
2020-03-10,3
2020-03-11,0
2020-03-12,8
2020-03-13,7
2020-03-14,4
2020-03-15,8
2020-03-16,8
2020-03-17,10
2020-03-18,3
2020-03-19,8
2020-03-20,7
2020-03-21,7
2020-03-22,11
2020-03-23,9
2020-03-24,11
2020-03-25,5
2020-03-26,13
2020-03-27,6
2020-03-28,4
2020-03-29,15
2020-03-30,6
2020-03-31,6
2020-04-01,9
2020-04-02,12
2020-04-03,11
2020-04-04,7
2020-04-05,13
2020-04-06,15
2020-04-07,33
2020-04-08,28
2020-04-09,39
2020-04-10,30
2020-04-11,35
2020-04-12,40
2020-04-13,28
2020-04-14,22
2020-04-15,23
2020-04-16,29
2020-04-17,36
2020-04-18,35
2020-04-19,22
2020-04-20,25
2020-04-21,18
2020-04-22,31
2020-04-23,25
2020-04-24,19
2020-04-25,28
2020-04-26,32
2020-04-27,20
2020-04-28,26
2020-04-29,31
2020-04-30,23
2020-05-01,27
2020-05-02,20
2020-05-03,22
2020-05-04,21
2020-05-05,26
2020-05-06,25
2020-05-07,23
2020-05-08,28
2020-05-09,27
2020-05-10,13
2020-05-11,24
2020-05-12,27
2020-05-13,39
2020-05-14,23
2020-05-15,34
2020-05-16,26
2020-05-17,18
2020-05-18,14
2020-05-19,21
2020-05-20,30
2020-05-21,20
2020-05-22,25
2020-05-23,26
2020-05-24,17
2020-05-25,25
2020-05-26,28
2020-05-27,33
2020-05-28,12
2020-05-29,19
2020-05-30,20
2020-05-31,20
2020-06-01,19
2020-06-02,15
2020-06-03,31
2020-06-04,35
2020-06-05,17
2020-06-06,33
2020-06-07,33
2020-06-08,36
2020-06-09,29
2020-06-10,33
2020-06-11,24
2020-06-12,31
2020-06-13,20
2020-06-14,41
2020-06-15,44
2020-06-16,42
2020-06-17,31
2020-06-18,31
2020-06-19,47
2020-06-20,29
2020-06-21,25
2020-06-22,49
2020-06-23,34
2020-06-24,26
2020-06-25,28
2020-06-26,69
2020-06-27,59
2020-06-28,60
2020-06-29,75
2020-06-30,56
2020-07-01,71
2020-07-02,50
2020-07-03,47
2020-07-04,42
2020-07-05,52
2020-07-06,50
2020-07-07,100
2020-07-08,86
2020-07-09,79
2020-07-10,93
2020-07-11,86
2020-07-12,33
2020-07-13,67
2020-07-14,64
2020-07-15,63
2020-07-16,53
2020-07-17,44
2020-07-18,58
2020-07-19,48
