Category: All categories

Day,"""covid symptoms"": (Oklahoma)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,10
2020-03-16,9
2020-03-17,9
2020-03-18,18
2020-03-19,0
2020-03-20,0
2020-03-21,10
2020-03-22,19
2020-03-23,0
2020-03-24,8
2020-03-25,0
2020-03-26,0
2020-03-27,41
2020-03-28,0
2020-03-29,19
2020-03-30,0
2020-03-31,17
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,27
2020-04-05,9
2020-04-06,8
2020-04-07,16
2020-04-08,8
2020-04-09,25
2020-04-10,9
2020-04-11,37
2020-04-12,18
2020-04-13,23
2020-04-14,39
2020-04-15,30
2020-04-16,15
2020-04-17,8
2020-04-18,18
2020-04-19,9
2020-04-20,24
2020-04-21,33
2020-04-22,8
2020-04-23,24
2020-04-24,0
2020-04-25,18
2020-04-26,19
2020-04-27,16
2020-04-28,8
2020-04-29,24
2020-04-30,31
2020-05-01,25
2020-05-02,0
2020-05-03,28
2020-05-04,16
2020-05-05,0
2020-05-06,8
2020-05-07,8
2020-05-08,16
2020-05-09,19
2020-05-10,0
2020-05-11,41
2020-05-12,25
2020-05-13,8
2020-05-14,8
2020-05-15,16
2020-05-16,0
2020-05-17,10
2020-05-18,26
2020-05-19,17
2020-05-20,26
2020-05-21,26
2020-05-22,17
2020-05-23,30
2020-05-24,10
2020-05-25,0
2020-05-26,17
2020-05-27,9
2020-05-28,43
2020-05-29,27
2020-05-30,20
2020-05-31,10
2020-06-01,9
2020-06-02,0
2020-06-03,42
2020-06-04,8
2020-06-05,8
2020-06-06,0
2020-06-07,10
2020-06-08,8
2020-06-09,16
2020-06-10,18
2020-06-11,18
2020-06-12,27
2020-06-13,30
2020-06-14,21
2020-06-15,17
2020-06-16,17
2020-06-17,52
2020-06-18,17
2020-06-19,9
2020-06-20,20
2020-06-21,41
2020-06-22,0
2020-06-23,35
2020-06-24,27
2020-06-25,18
2020-06-26,19
2020-06-27,31
2020-06-28,79
2020-06-29,62
2020-06-30,89
2020-07-01,46
2020-07-02,27
2020-07-03,77
2020-07-04,44
2020-07-05,45
2020-07-06,54
2020-07-07,45
2020-07-08,56
2020-07-09,64
2020-07-10,56
2020-07-11,31
2020-07-12,42
2020-07-13,91
2020-07-14,100
2020-07-15,82
2020-07-16,46
2020-07-17,67
2020-07-18,63
2020-07-19,32
