Category: All categories

Day,"""covid symptoms"": (Tennessee)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,5
2020-03-08,0
2020-03-09,4
2020-03-10,9
2020-03-11,9
2020-03-12,0
2020-03-13,0
2020-03-14,5
2020-03-15,5
2020-03-16,4
2020-03-17,13
2020-03-18,0
2020-03-19,0
2020-03-20,8
2020-03-21,10
2020-03-22,14
2020-03-23,8
2020-03-24,8
2020-03-25,13
2020-03-26,5
2020-03-27,4
2020-03-28,10
2020-03-29,5
2020-03-30,4
2020-03-31,0
2020-04-01,8
2020-04-02,4
2020-04-03,4
2020-04-04,10
2020-04-05,0
2020-04-06,13
2020-04-07,30
2020-04-08,30
2020-04-09,4
2020-04-10,41
2020-04-11,25
2020-04-12,23
2020-04-13,20
2020-04-14,29
2020-04-15,12
2020-04-16,25
2020-04-17,21
2020-04-18,5
2020-04-19,28
2020-04-20,16
2020-04-21,29
2020-04-22,13
2020-04-23,20
2020-04-24,8
2020-04-25,13
2020-04-26,27
2020-04-27,21
2020-04-28,43
2020-04-29,24
2020-04-30,27
2020-05-01,13
2020-05-02,15
2020-05-03,15
2020-05-04,25
2020-05-05,23
2020-05-06,4
2020-05-07,13
2020-05-08,29
2020-05-09,33
2020-05-10,0
2020-05-11,9
2020-05-12,17
2020-05-13,17
2020-05-14,34
2020-05-15,17
2020-05-16,20
2020-05-17,38
2020-05-18,21
2020-05-19,29
2020-05-20,21
2020-05-21,22
2020-05-22,13
2020-05-23,24
2020-05-24,15
2020-05-25,19
2020-05-26,0
2020-05-27,13
2020-05-28,17
2020-05-29,26
2020-05-30,25
2020-05-31,10
2020-06-01,4
2020-06-02,17
2020-06-03,8
2020-06-04,21
2020-06-05,25
2020-06-06,15
2020-06-07,5
2020-06-08,8
2020-06-09,28
2020-06-10,22
2020-06-11,13
2020-06-12,23
2020-06-13,10
2020-06-14,20
2020-06-15,31
2020-06-16,9
2020-06-17,26
2020-06-18,13
2020-06-19,18
2020-06-20,40
2020-06-21,20
2020-06-22,26
2020-06-23,26
2020-06-24,13
2020-06-25,22
2020-06-26,32
2020-06-27,64
2020-06-28,49
2020-06-29,49
2020-06-30,31
2020-07-01,100
2020-07-02,42
2020-07-03,58
2020-07-04,60
2020-07-05,27
2020-07-06,54
2020-07-07,84
2020-07-08,74
2020-07-09,97
2020-07-10,95
2020-07-11,58
2020-07-12,68
2020-07-13,100
2020-07-14,74
2020-07-15,37
2020-07-16,46
2020-07-17,47
2020-07-18,57
2020-07-19,15
