Category: All categories

Day,"""covid symptoms"": (Texas)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,1
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,1
2020-03-04,0
2020-03-05,1
2020-03-06,1
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,2
2020-03-12,1
2020-03-13,3
2020-03-14,5
2020-03-15,9
2020-03-16,10
2020-03-17,13
2020-03-18,10
2020-03-19,11
2020-03-20,10
2020-03-21,5
2020-03-22,11
2020-03-23,7
2020-03-24,4
2020-03-25,2
2020-03-26,8
2020-03-27,7
2020-03-28,9
2020-03-29,9
2020-03-30,7
2020-03-31,9
2020-04-01,10
2020-04-02,11
2020-04-03,6
2020-04-04,10
2020-04-05,8
2020-04-06,17
2020-04-07,30
2020-04-08,35
2020-04-09,27
2020-04-10,22
2020-04-11,28
2020-04-12,24
2020-04-13,28
2020-04-14,27
2020-04-15,17
2020-04-16,27
2020-04-17,18
2020-04-18,18
2020-04-19,14
2020-04-20,20
2020-04-21,22
2020-04-22,19
2020-04-23,17
2020-04-24,17
2020-04-25,17
2020-04-26,21
2020-04-27,26
2020-04-28,21
2020-04-29,21
2020-04-30,18
2020-05-01,21
2020-05-02,17
2020-05-03,14
2020-05-04,18
2020-05-05,19
2020-05-06,23
2020-05-07,21
2020-05-08,20
2020-05-09,18
2020-05-10,15
2020-05-11,24
2020-05-12,19
2020-05-13,19
2020-05-14,22
2020-05-15,22
2020-05-16,15
2020-05-17,20
2020-05-18,21
2020-05-19,20
2020-05-20,24
2020-05-21,25
2020-05-22,17
2020-05-23,13
2020-05-24,23
2020-05-25,22
2020-05-26,22
2020-05-27,24
2020-05-28,24
2020-05-29,23
2020-05-30,14
2020-05-31,15
2020-06-01,14
2020-06-02,20
2020-06-03,13
2020-06-04,24
2020-06-05,23
2020-06-06,20
2020-06-07,20
2020-06-08,20
2020-06-09,25
2020-06-10,31
2020-06-11,38
2020-06-12,35
2020-06-13,34
2020-06-14,37
2020-06-15,50
2020-06-16,54
2020-06-17,65
2020-06-18,51
2020-06-19,48
2020-06-20,46
2020-06-21,39
2020-06-22,64
2020-06-23,56
2020-06-24,39
2020-06-25,60
2020-06-26,79
2020-06-27,93
2020-06-28,100
2020-06-29,98
2020-06-30,99
2020-07-01,83
2020-07-02,78
2020-07-03,75
2020-07-04,59
2020-07-05,64
2020-07-06,72
2020-07-07,91
2020-07-08,86
2020-07-09,86
2020-07-10,72
2020-07-11,65
2020-07-12,65
2020-07-13,68
2020-07-14,76
2020-07-15,56
2020-07-16,52
2020-07-17,52
2020-07-18,44
2020-07-19,45
