Category: All categories

Day,"""covid symptoms"": (Utah)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,8
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,7
2020-03-13,8
2020-03-14,0
2020-03-15,19
2020-03-16,8
2020-03-17,16
2020-03-18,13
2020-03-19,22
2020-03-20,7
2020-03-21,9
2020-03-22,9
2020-03-23,0
2020-03-24,7
2020-03-25,29
2020-03-26,14
2020-03-27,0
2020-03-28,0
2020-03-29,18
2020-03-30,7
2020-03-31,22
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,9
2020-04-05,26
2020-04-06,0
2020-04-07,30
2020-04-08,15
2020-04-09,8
2020-04-10,24
2020-04-11,9
2020-04-12,36
2020-04-13,7
2020-04-14,21
2020-04-15,40
2020-04-16,60
2020-04-17,29
2020-04-18,17
2020-04-19,34
2020-04-20,14
2020-04-21,7
2020-04-22,22
2020-04-23,36
2020-04-24,29
2020-04-25,18
2020-04-26,18
2020-04-27,22
2020-04-28,22
2020-04-29,15
2020-04-30,14
2020-05-01,15
2020-05-02,9
2020-05-03,9
2020-05-04,15
2020-05-05,21
2020-05-06,22
2020-05-07,30
2020-05-08,31
2020-05-09,9
2020-05-10,19
2020-05-11,22
2020-05-12,44
2020-05-13,29
2020-05-14,15
2020-05-15,15
2020-05-16,37
2020-05-17,9
2020-05-18,23
2020-05-19,15
2020-05-20,15
2020-05-21,8
2020-05-22,8
2020-05-23,28
2020-05-24,10
2020-05-25,0
2020-05-26,16
2020-05-27,15
2020-05-28,31
2020-05-29,24
2020-05-30,53
2020-05-31,45
2020-06-01,24
2020-06-02,8
2020-06-03,15
2020-06-04,15
2020-06-05,15
2020-06-06,8
2020-06-07,35
2020-06-08,43
2020-06-09,23
2020-06-10,31
2020-06-11,47
2020-06-12,24
2020-06-13,0
2020-06-14,46
2020-06-15,78
2020-06-16,39
2020-06-17,8
2020-06-18,50
2020-06-19,25
2020-06-20,20
2020-06-21,29
2020-06-22,32
2020-06-23,8
2020-06-24,32
2020-06-25,16
2020-06-26,17
2020-06-27,57
2020-06-28,27
2020-06-29,24
2020-06-30,56
2020-07-01,41
2020-07-02,42
2020-07-03,36
2020-07-04,62
2020-07-05,0
2020-07-06,57
2020-07-07,41
2020-07-08,51
2020-07-09,100
2020-07-10,34
2020-07-11,78
2020-07-12,57
2020-07-13,66
2020-07-14,66
2020-07-15,58
2020-07-16,42
2020-07-17,61
2020-07-18,59
2020-07-19,20
