Category: All categories

Day,"""covid symptoms"": (Virginia)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,3
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,4
2020-03-12,10
2020-03-13,11
2020-03-14,4
2020-03-15,16
2020-03-16,7
2020-03-17,14
2020-03-18,10
2020-03-19,14
2020-03-20,7
2020-03-21,4
2020-03-22,4
2020-03-23,6
2020-03-24,7
2020-03-25,7
2020-03-26,10
2020-03-27,10
2020-03-28,4
2020-03-29,0
2020-03-30,10
2020-03-31,0
2020-04-01,3
2020-04-02,7
2020-04-03,17
2020-04-04,15
2020-04-05,16
2020-04-06,20
2020-04-07,54
2020-04-08,54
2020-04-09,34
2020-04-10,41
2020-04-11,31
2020-04-12,12
2020-04-13,23
2020-04-14,29
2020-04-15,25
2020-04-16,16
2020-04-17,33
2020-04-18,22
2020-04-19,30
2020-04-20,16
2020-04-21,13
2020-04-22,23
2020-04-23,41
2020-04-24,29
2020-04-25,18
2020-04-26,26
2020-04-27,16
2020-04-28,10
2020-04-29,23
2020-04-30,12
2020-05-01,16
2020-05-02,23
2020-05-03,12
2020-05-04,19
2020-05-05,9
2020-05-06,22
2020-05-07,16
2020-05-08,13
2020-05-09,15
2020-05-10,36
2020-05-11,26
2020-05-12,50
2020-05-13,30
2020-05-14,42
2020-05-15,37
2020-05-16,16
2020-05-17,23
2020-05-18,16
2020-05-19,35
2020-05-20,19
2020-05-21,23
2020-05-22,27
2020-05-23,4
2020-05-24,24
2020-05-25,46
2020-05-26,23
2020-05-27,26
2020-05-28,22
2020-05-29,34
2020-05-30,19
2020-05-31,24
2020-06-01,30
2020-06-02,34
2020-06-03,32
2020-06-04,31
2020-06-05,6
2020-06-06,34
2020-06-07,16
2020-06-08,19
2020-06-09,22
2020-06-10,34
2020-06-11,20
2020-06-12,24
2020-06-13,16
2020-06-14,28
2020-06-15,34
2020-06-16,26
2020-06-17,10
2020-06-18,17
2020-06-19,18
2020-06-20,16
2020-06-21,16
2020-06-22,38
2020-06-23,14
2020-06-24,32
2020-06-25,24
2020-06-26,36
2020-06-27,38
2020-06-28,36
2020-06-29,35
2020-06-30,46
2020-07-01,68
2020-07-02,43
2020-07-03,40
2020-07-04,39
2020-07-05,35
2020-07-06,39
2020-07-07,100
2020-07-08,58
2020-07-09,62
2020-07-10,56
2020-07-11,72
2020-07-12,59
2020-07-13,87
2020-07-14,88
2020-07-15,53
2020-07-16,69
2020-07-17,44
2020-07-18,64
2020-07-19,8
