Category: All categories

Day,"""covid symptoms"": (Wisconsin)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,5
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,12
2020-03-15,24
2020-03-16,16
2020-03-17,21
2020-03-18,15
2020-03-19,10
2020-03-20,10
2020-03-21,23
2020-03-22,0
2020-03-23,19
2020-03-24,10
2020-03-25,0
2020-03-26,10
2020-03-27,10
2020-03-28,5
2020-03-29,0
2020-03-30,19
2020-03-31,5
2020-04-01,5
2020-04-02,15
2020-04-03,5
2020-04-04,0
2020-04-05,6
2020-04-06,9
2020-04-07,29
2020-04-08,38
2020-04-09,14
2020-04-10,41
2020-04-11,28
2020-04-12,27
2020-04-13,24
2020-04-14,14
2020-04-15,18
2020-04-16,18
2020-04-17,24
2020-04-18,39
2020-04-19,17
2020-04-20,33
2020-04-21,19
2020-04-22,33
2020-04-23,19
2020-04-24,23
2020-04-25,27
2020-04-26,23
2020-04-27,33
2020-04-28,33
2020-04-29,19
2020-04-30,18
2020-05-01,25
2020-05-02,18
2020-05-03,24
2020-05-04,14
2020-05-05,40
2020-05-06,34
2020-05-07,34
2020-05-08,19
2020-05-09,22
2020-05-10,28
2020-05-11,29
2020-05-12,40
2020-05-13,35
2020-05-14,5
2020-05-15,26
2020-05-16,30
2020-05-17,16
2020-05-18,42
2020-05-19,29
2020-05-20,40
2020-05-21,36
2020-05-22,27
2020-05-23,23
2020-05-24,37
2020-05-25,52
2020-05-26,40
2020-05-27,15
2020-05-28,10
2020-05-29,21
2020-05-30,18
2020-05-31,6
2020-06-01,25
2020-06-02,15
2020-06-03,40
2020-06-04,40
2020-06-05,30
2020-06-06,25
2020-06-07,12
2020-06-08,15
2020-06-09,39
2020-06-10,10
2020-06-11,37
2020-06-12,17
2020-06-13,38
2020-06-14,19
2020-06-15,38
2020-06-16,43
2020-06-17,38
2020-06-18,44
2020-06-19,17
2020-06-20,29
2020-06-21,13
2020-06-22,42
2020-06-23,16
2020-06-24,22
2020-06-25,28
2020-06-26,54
2020-06-27,31
2020-06-28,43
2020-06-29,47
2020-06-30,49
2020-07-01,56
2020-07-02,28
2020-07-03,85
2020-07-04,34
2020-07-05,79
2020-07-06,96
2020-07-07,80
2020-07-08,66
2020-07-09,81
2020-07-10,91
2020-07-11,70
2020-07-12,90
2020-07-13,100
2020-07-14,70
2020-07-15,86
2020-07-16,29
2020-07-17,64
2020-07-18,50
2020-07-19,32
