Category: All categories

Day,"""covid symptoms"": (North Dakota)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,20
2020-03-17,19
2020-03-18,19
2020-03-19,19
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,17
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,21
2020-03-30,0
2020-03-31,17
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,16
2020-04-07,17
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,19
2020-04-13,34
2020-04-14,17
2020-04-15,24
2020-04-16,40
2020-04-17,34
2020-04-18,0
2020-04-19,19
2020-04-20,16
2020-04-21,25
2020-04-22,26
2020-04-23,17
2020-04-24,17
2020-04-25,0
2020-04-26,0
2020-04-27,18
2020-04-28,17
2020-04-29,0
2020-04-30,34
2020-05-01,18
2020-05-02,21
2020-05-03,21
2020-05-04,0
2020-05-05,23
2020-05-06,17
2020-05-07,0
2020-05-08,18
2020-05-09,19
2020-05-10,0
2020-05-11,18
2020-05-12,17
2020-05-13,17
2020-05-14,18
2020-05-15,0
2020-05-16,47
2020-05-17,23
2020-05-18,19
2020-05-19,19
2020-05-20,18
2020-05-21,19
2020-05-22,0
2020-05-23,0
2020-05-24,23
2020-05-25,0
2020-05-26,19
2020-05-27,29
2020-05-28,19
2020-05-29,21
2020-05-30,24
2020-05-31,24
2020-06-01,0
2020-06-02,19
2020-06-03,0
2020-06-04,0
2020-06-05,20
2020-06-06,45
2020-06-07,0
2020-06-08,17
2020-06-09,37
2020-06-10,19
2020-06-11,20
2020-06-12,21
2020-06-13,25
2020-06-14,23
2020-06-15,0
2020-06-16,18
2020-06-17,20
2020-06-18,0
2020-06-19,22
2020-06-20,0
2020-06-21,0
2020-06-22,40
2020-06-23,0
2020-06-24,0
2020-06-25,20
2020-06-26,0
2020-06-27,0
2020-06-28,46
2020-06-29,20
2020-06-30,20
2020-07-01,20
2020-07-02,43
2020-07-03,38
2020-07-04,57
2020-07-05,28
2020-07-06,21
2020-07-07,100
2020-07-08,31
2020-07-09,21
2020-07-10,66
2020-07-11,39
2020-07-12,51
2020-07-13,40
2020-07-14,42
2020-07-15,53
2020-07-16,23
2020-07-17,44
2020-07-18,50
2020-07-19,39
