Category: All categories

Day,"""covid symptoms"": (Colorado)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,5
2020-03-04,0
2020-03-05,5
2020-03-06,0
2020-03-07,6
2020-03-08,0
2020-03-09,0
2020-03-10,5
2020-03-11,20
2020-03-12,0
2020-03-13,29
2020-03-14,6
2020-03-15,11
2020-03-16,5
2020-03-17,20
2020-03-18,10
2020-03-19,20
2020-03-20,10
2020-03-21,6
2020-03-22,17
2020-03-23,19
2020-03-24,15
2020-03-25,5
2020-03-26,15
2020-03-27,14
2020-03-28,22
2020-03-29,17
2020-03-30,0
2020-03-31,5
2020-04-01,19
2020-04-02,23
2020-04-03,19
2020-04-04,17
2020-04-05,17
2020-04-06,48
2020-04-07,34
2020-04-08,34
2020-04-09,43
2020-04-10,35
2020-04-11,23
2020-04-12,33
2020-04-13,28
2020-04-14,23
2020-04-15,32
2020-04-16,31
2020-04-17,9
2020-04-18,16
2020-04-19,33
2020-04-20,24
2020-04-21,14
2020-04-22,28
2020-04-23,32
2020-04-24,41
2020-04-25,11
2020-04-26,22
2020-04-27,38
2020-04-28,24
2020-04-29,24
2020-04-30,18
2020-05-01,10
2020-05-02,32
2020-05-03,28
2020-05-04,23
2020-05-05,31
2020-05-06,19
2020-05-07,34
2020-05-08,24
2020-05-09,16
2020-05-10,29
2020-05-11,28
2020-05-12,34
2020-05-13,15
2020-05-14,33
2020-05-15,34
2020-05-16,23
2020-05-17,23
2020-05-18,5
2020-05-19,24
2020-05-20,38
2020-05-21,15
2020-05-22,26
2020-05-23,36
2020-05-24,22
2020-05-25,23
2020-05-26,41
2020-05-27,25
2020-05-28,15
2020-05-29,20
2020-05-30,17
2020-05-31,11
2020-06-01,25
2020-06-02,15
2020-06-03,33
2020-06-04,9
2020-06-05,5
2020-06-06,17
2020-06-07,18
2020-06-08,44
2020-06-09,14
2020-06-10,20
2020-06-11,20
2020-06-12,16
2020-06-13,23
2020-06-14,6
2020-06-15,10
2020-06-16,24
2020-06-17,15
2020-06-18,15
2020-06-19,15
2020-06-20,12
2020-06-21,30
2020-06-22,31
2020-06-23,30
2020-06-24,20
2020-06-25,30
2020-06-26,47
2020-06-27,35
2020-06-28,46
2020-06-29,80
2020-06-30,30
2020-07-01,36
2020-07-02,26
2020-07-03,28
2020-07-04,43
2020-07-05,13
2020-07-06,51
2020-07-07,46
2020-07-08,57
2020-07-09,52
2020-07-10,48
2020-07-11,54
2020-07-12,77
2020-07-13,55
2020-07-14,100
2020-07-15,41
2020-07-16,72
2020-07-17,47
2020-07-18,24
2020-07-19,30
