Category: All categories

Day,"""covid symptoms"": (Florida)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,3
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,2
2020-03-10,0
2020-03-11,0
2020-03-12,2
2020-03-13,6
2020-03-14,7
2020-03-15,4
2020-03-16,5
2020-03-17,15
2020-03-18,7
2020-03-19,8
2020-03-20,2
2020-03-21,9
2020-03-22,6
2020-03-23,8
2020-03-24,7
2020-03-25,8
2020-03-26,6
2020-03-27,9
2020-03-28,14
2020-03-29,13
2020-03-30,7
2020-03-31,9
2020-04-01,7
2020-04-02,11
2020-04-03,10
2020-04-04,10
2020-04-05,8
2020-04-06,26
2020-04-07,30
2020-04-08,37
2020-04-09,33
2020-04-10,25
2020-04-11,33
2020-04-12,31
2020-04-13,24
2020-04-14,24
2020-04-15,25
2020-04-16,22
2020-04-17,23
2020-04-18,25
2020-04-19,22
2020-04-20,18
2020-04-21,21
2020-04-22,28
2020-04-23,16
2020-04-24,18
2020-04-25,15
2020-04-26,27
2020-04-27,35
2020-04-28,26
2020-04-29,15
2020-04-30,24
2020-05-01,25
2020-05-02,15
2020-05-03,15
2020-05-04,19
2020-05-05,18
2020-05-06,13
2020-05-07,19
2020-05-08,18
2020-05-09,14
2020-05-10,19
2020-05-11,17
2020-05-12,19
2020-05-13,31
2020-05-14,26
2020-05-15,17
2020-05-16,23
2020-05-17,16
2020-05-18,17
2020-05-19,20
2020-05-20,19
2020-05-21,15
2020-05-22,22
2020-05-23,12
2020-05-24,17
2020-05-25,15
2020-05-26,24
2020-05-27,14
2020-05-28,23
2020-05-29,12
2020-05-30,19
2020-05-31,21
2020-06-01,16
2020-06-02,14
2020-06-03,12
2020-06-04,15
2020-06-05,16
2020-06-06,15
2020-06-07,16
2020-06-08,22
2020-06-09,16
2020-06-10,20
2020-06-11,23
2020-06-12,26
2020-06-13,30
2020-06-14,29
2020-06-15,34
2020-06-16,46
2020-06-17,35
2020-06-18,34
2020-06-19,42
2020-06-20,54
2020-06-21,44
2020-06-22,51
2020-06-23,45
2020-06-24,43
2020-06-25,43
2020-06-26,81
2020-06-27,73
2020-06-28,70
2020-06-29,86
2020-06-30,99
2020-07-01,63
2020-07-02,59
2020-07-03,77
2020-07-04,68
2020-07-05,80
2020-07-06,82
2020-07-07,95
2020-07-08,88
2020-07-09,100
2020-07-10,76
2020-07-11,74
2020-07-12,77
2020-07-13,74
2020-07-14,93
2020-07-15,74
2020-07-16,49
2020-07-17,71
2020-07-18,44
2020-07-19,39
