Category: All categories

Day,"""covid symptoms"": (Georgia)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,3
2020-03-04,0
2020-03-05,3
2020-03-06,3
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,3
2020-03-13,6
2020-03-14,3
2020-03-15,7
2020-03-16,7
2020-03-17,10
2020-03-18,11
2020-03-19,4
2020-03-20,8
2020-03-21,10
2020-03-22,3
2020-03-23,12
2020-03-24,4
2020-03-25,4
2020-03-26,3
2020-03-27,10
2020-03-28,6
2020-03-29,6
2020-03-30,14
2020-03-31,5
2020-04-01,8
2020-04-02,14
2020-04-03,4
2020-04-04,10
2020-04-05,11
2020-04-06,6
2020-04-07,40
2020-04-08,38
2020-04-09,43
2020-04-10,30
2020-04-11,26
2020-04-12,32
2020-04-13,28
2020-04-14,22
2020-04-15,30
2020-04-16,27
2020-04-17,25
2020-04-18,24
2020-04-19,28
2020-04-20,21
2020-04-21,21
2020-04-22,33
2020-04-23,23
2020-04-24,16
2020-04-25,23
2020-04-26,27
2020-04-27,31
2020-04-28,28
2020-04-29,23
2020-04-30,20
2020-05-01,9
2020-05-02,19
2020-05-03,16
2020-05-04,20
2020-05-05,15
2020-05-06,16
2020-05-07,18
2020-05-08,7
2020-05-09,26
2020-05-10,7
2020-05-11,29
2020-05-12,24
2020-05-13,29
2020-05-14,19
2020-05-15,24
2020-05-16,27
2020-05-17,19
2020-05-18,24
2020-05-19,20
2020-05-20,21
2020-05-21,23
2020-05-22,17
2020-05-23,19
2020-05-24,13
2020-05-25,21
2020-05-26,26
2020-05-27,24
2020-05-28,20
2020-05-29,14
2020-05-30,22
2020-05-31,20
2020-06-01,23
2020-06-02,23
2020-06-03,25
2020-06-04,26
2020-06-05,18
2020-06-06,14
2020-06-07,21
2020-06-08,29
2020-06-09,25
2020-06-10,20
2020-06-11,16
2020-06-12,22
2020-06-13,13
2020-06-14,19
2020-06-15,30
2020-06-16,32
2020-06-17,34
2020-06-18,22
2020-06-19,22
2020-06-20,21
2020-06-21,24
2020-06-22,26
2020-06-23,23
2020-06-24,31
2020-06-25,32
2020-06-26,55
2020-06-27,80
2020-06-28,64
2020-06-29,72
2020-06-30,86
2020-07-01,78
2020-07-02,74
2020-07-03,72
2020-07-04,91
2020-07-05,52
2020-07-06,86
2020-07-07,91
2020-07-08,100
2020-07-09,97
2020-07-10,69
2020-07-11,71
2020-07-12,89
2020-07-13,68
2020-07-14,94
2020-07-15,58
2020-07-16,54
2020-07-17,69
2020-07-18,52
2020-07-19,42
